url,title,archive_path,sha256,first_seen,last_checked,status,discovered_from
https://www.vic.gov.au/STEM-in-early-childhood,STEM in early childhood | vic.gov.au,archive/gov/vic-gov/pages/STEM-in-early-childhood/current.html,6dc3329186868758a785e520a9392d581c704085513fd68a83d3a5f6f051dcf6,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together,"Best Start, Best Life: Transforming early childhood education together | vic.gov.au",archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/current.html,0bda8be1b2b57a2bb62243baa2d1507fbe64f8d2ae0bc20e1f252a3b6475e9a0,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/acknowledgement-country,Acknowledgement of Country | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/acknowledgement-country/current.html,45d8585fb180d7ee636dc7e306c46662ea8fdc9790aa04aaa6244678d850a1b6,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life,Implementation | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life/current.html,48ef7a74dea4acf9b6c5b583244884ba8d8d9f9592049e670d8398e4a2b26bea,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life-early,Early learning for all children | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life-early/current.html,15a561eab07267304b27540bf3d28f84f22c30f7841a235612425dfe3ec2ba2f,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life-reform,Reform rollout | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/best-start-best-life-reform/current.html,a396eb323376ae2bedabb9ace156f47ece03d86fe06595c4620912419da70dc6,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/ministers-message,Minister’s message | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/ministers-message/current.html,337b1b38daa7417ef524a1417367a5b04285b1075ef510124ac9716955bb4c57,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/next-steps,Next steps | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/next-steps/current.html,8156fdc36ccf8b930a65c74178c9ddca7721f43e0ecdf28d735a1eae7840edea,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/premiers-message,Premier’s message | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/premiers-message/current.html,798dbdaa1ee3a6528e514361b78dce3fe92387f6a596dda999eec721cd3afdfc,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
https://www.vic.gov.au/best-start-best-life-transforming-early-childhood-education-together/why-play-based-learning,Why play-based learning? | vic.gov.au,archive/gov/vic-gov/pages/best-start-best-life-transforming-early-childhood-education-together/why-play-based-learning/current.html,14c58146e02239878997ea346a53ab8438379e8683256bfd4b9566ddec391604,2026-09-04T10:38:30Z,2026-09-26T07:51:00Z,active,sitemap/link
